,index,appTitle,userName,date,score,Sentiment,Constructive,text,category,appTitle_lower,text_org,contentRating,Review Length,month
0,23381,Google Classroom,YG ENTERTAINMENT,29-Aug-18,1,-5,3,It did nothing,EDUCATION,google classroom,It did nothing,Everyone,14,3
1,13752,Google Classroom,,30-Oct-18,1,-5,3,Ugly head ah,EDUCATION,google classroom,Ugly head ah,Everyone,12,3
2,5874,Google Classroom,,17-Sep-18,1,-5,2,my school can eat some fine ass,EDUCATION,google classroom,my school can eat some fine ass,Everyone,31,3
3,352166,Photomath,,12-Mar-19,1,-5,3,very nice app,EDUCATION,photomath,very nice app,Everyone,13,3
4,670246,Duolingo: Learn Languages Free,A Google User,31-Mar-19,1,-4,4,I had a 15 day streak i forgot to do it one time and now my mother brother and all my family are gone and there is a black SUV parked at the corner of the street which every few hours I see one get out and they have the Duolingo bird logo on their shirt also my TV connection has been cut off and now all i see is the Duolingo bird with you forgot your japanese lesson written under it and underneath that it says you have 15 more days worth of japanese lessons before you see your brother,EDUCATION,duolingo: learn languages free,"I had a 15 day streak, i forgot to do it one time and now my mother, brother and all my family are gone and there is a black SUV parked at the corner of the street which every few hours I see one get out and they have the Duolingo bird logo on their shirt, also my TV connection has been cut off and now all i see is the Duolingo bird with ""you forgot your japanese lesson!"" written under it and underneath that it says ""you have: 15 more days worth of japanese lessons before you see your brother""",Everyone,489,4
5,38620,Remind: School Communication,Rachel Dyche,17-Jan-19,2,-3,9,SLOW at sending messages over wifi and im having to resend Especially if they are long Also it would be helpful if it allowed word suggestion thanks,EDUCATION,remind: school communication,"SLOW at sending messages over wi-fi! and im having to resend. Especially if they are long. Also, it would be helpful if it allowed word suggestion. thanks",Everyone,148,3
6,10449,Duolingo: Learn Languages Free,Emily Westrick,5-Mar-19,2,-3,6,Great for learning or used to be Duolingo has a lot of great pluses to it I would absolutely recommend it for learning a language but the updates they have been publishing are ruining the experience I have little hope that this will remain a great platform as they continue to remove features and bring out new systems that make the entire system less engaging try memrise or beelingo or drops less change drama due to these updates Ill never purchase duo pro,EDUCATION,duolingo: learn languages free,"Great for learning, or used to be. Duolingo has a lot of great pluses to it. I would absolutely recommend it for learning a language, but the updates they have been publishing are ruining the experience. I have little hope that this will remain a great platform as they continue to remove features and bring out new systems that make the entire system less engaging. try memrise or beelingo or drops. less change drama. due to these updates I'll never purchase duo pro.",Everyone,459,3
7,2057838,,Nicole Early,15-Feb-19,2,-2,8,there needs to be a way to delete groups that you follow,EDUCATION,,there needs to be a way to delete groups that you follow,,56,5
8,2058442,,Beautiful Unique,16-Dec-17,2,-2,10,It download fine then i created a account put my card information in it took fot the 30 day trial its 4 steps got to fourth step it wont let me confirm i cant click on anything so i did everything over nothing change,EDUCATION,,It download fine then i created a account put my card information in it took fot the 30 day trial it's 4 steps got to fourth step it wont let me confirm i can't click on anything so i did everything over nothing change,,216,5
9,28135,Remind: School Communication,Chris Wallace,16-Feb-19,2,-3,8,would be great if some teachers actually replied back,EDUCATION,remind: school communication,would be great if some teachers actually replied back.,Everyone,53,3
10,2059998,,A Google User,25-Oct-18,3,-1,8,Has a really hard time loading Sometimes I have to completely shut down the app and reopen it because its frozen or wont load an activity By the time I get it up and running again my toddler is wanting to do something else,EDUCATION,,Has a really hard time loading. Sometimes I have to completely shut down the app and reopen it because its frozen or wont load an activity. By the time I get it up and running again my toddler is wanting to do something else,,222,5
11,1688459,Remind: School Communication,Rachel March,20-Apr-19,3,1,10,Difficult to get set up there is a 24 hr wait time from the invite sentaccepted and posted to the group You can only send a group conversation to 9 people,EDUCATION,remind: school communication,"Difficult to get set up, there is a 24 hr wait time from the invite sent/accepted and posted to the group. You can only send a group conversation to 9 people.",Everyone,154,4
12,32349,ClassDojo,Heather Bagley,11-Feb-19,3,-1,5,I normally love the dojo app but lately it has been giving or taking double triple or even five times as many point as Im trying to give or take,EDUCATION,classdojo,"I normally love the dojo app, but lately it has been giving or taking double, triple, or even five times as many point as I'm trying to give or take.",Everyone,144,3
